18:48, Friday, January 18, 2019
Study name:Static 2 Square Diamond Compression
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
114  ,-2.64966e-007  ,-1.01527e-008  ,3.13274e-007  ,7.37799e-008  ,1.29452e-007  ,8.21104e-008
115  ,-4.45704e-007  ,2.96409e-007  ,-9.59184e-008  ,7.75607e-009  ,-1.08845e-006  ,-4.03711e-009
116  ,-3.39333e-007  ,3.19074e-008  ,3.02473e-007  ,6.83018e-009  ,-2.49308e-007  ,9.92035e-009
117  ,-1.60226e-008  ,-2.48938e-007  ,5.26953e-007  ,-3.62201e-008  ,1.04553e-006  ,-5.41519e-008
118  ,-1.02091e-007  ,-2.06073e-007  ,5.54382e-007  ,2.93115e-008  ,7.22022e-007  ,2.10517e-008
119  ,-3.39339e-007  ,-7.70043e-008  ,3.82785e-007  ,5.65360e-009  ,1.11749e-007  ,5.29932e-008
120  ,5.12803e-007  ,-5.66404e-007  ,6.32048e-007  ,-4.20106e-009  ,-2.30473e-006  ,5.53916e-009
121  ,4.62468e-007  ,-5.18762e-007  ,5.88252e-007  ,-6.23584e-009  ,-2.08189e-006  ,6.13454e-009
122  ,4.39639e-007  ,-4.71266e-007  ,5.09486e-007  ,9.92281e-010  ,-1.87707e-006  ,2.01299e-009
123  ,4.48900e-007  ,-4.96666e-007  ,5.78630e-007  ,-9.39389e-009  ,-2.03530e-006  ,1.36323e-009
124  ,5.79450e-007  ,-5.98387e-007  ,6.41042e-007  ,-2.17768e-009  ,-2.40883e-006  ,3.46268e-009
125  ,4.65701e-007  ,-5.12989e-007  ,5.71258e-007  ,-1.49443e-008  ,-2.03201e-006  ,1.36147e-008
126  ,1.33805e-006  ,-1.10669e-006  ,8.46033e-007  ,-6.35963e-010  ,-4.35325e-006  ,-1.06106e-008
127  ,-4.94475e-007  ,-3.30859e-007  ,1.08805e-006  ,7.39739e-008  ,-3.54040e-006  ,5.88067e-008
128  ,1.34237e-006  ,-1.01714e-006  ,7.05802e-007  ,3.67374e-008  ,-3.88536e-006  ,-2.84104e-008
129  ,-5.20035e-007  ,-3.32521e-007  ,1.12190e-006  ,-1.26186e-007  ,-3.56892e-006  ,4.26880e-009
130  ,4.45781e-007  ,-4.85527e-007  ,6.02350e-007  ,-8.61294e-008  ,-3.39070e-006  ,-4.04373e-008
131  ,-9.50589e-007  ,1.11648e-006  ,-1.35486e-006  ,-7.04232e-008  ,5.45499e-006  ,6.60329e-008
132  ,5.57781e-007  ,3.06478e-007  ,-1.17587e-006  ,-1.92130e-008  ,8.09724e-006  ,-1.14552e-008
133  ,-8.17289e-007  ,1.11909e-006  ,-1.45051e-006  ,-4.08381e-009  ,4.53877e-006  ,1.93059e-008
134  ,6.75295e-008  ,4.19908e-007  ,-9.37847e-007  ,3.03757e-008  ,7.42212e-006  ,-1.19070e-007
135  ,1.25338e-007  ,4.09749e-007  ,-9.14986e-007  ,-2.53654e-008  ,6.91108e-006  ,1.28307e-007
136  ,6.43548e-007  ,3.49186e-007  ,-1.32509e-006  ,9.65192e-010  ,7.92951e-006  ,-4.74344e-008
137  ,-5.77876e-007  ,7.94650e-007  ,-9.92299e-007  ,1.44075e-007  ,5.97265e-006  ,-2.65422e-008
138  ,-1.73968e-006  ,1.29840e-006  ,-9.23911e-007  ,-2.11818e-008  ,5.42734e-006  ,1.14089e-008
139  ,-2.42972e-006  ,2.01917e-006  ,-1.70249e-006  ,-4.26208e-008  ,8.33056e-006  ,3.84498e-008
140  ,1.28206e-006  ,-5.02734e-007  ,-2.50038e-007  ,-3.35902e-009  ,1.97647e-006  ,7.96269e-009
141  ,-1.47691e-006  ,1.10012e-006  ,-7.58045e-007  ,7.53558e-009  ,4.31651e-006  ,-1.77327e-008
