19:45, Thursday, January 17, 2019
Study name:Static 1 Filled Tension
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
31496  ,491.875  ,2.5  ,500  ,2.88891e-004
2940  ,492.406  ,-2.5  ,491.875  ,2.88891e-004
511  ,492.406  ,2.5  ,-491.875  ,2.88879e-004
31262  ,500  ,-2.5  ,382.913  ,2.88847e-004
31034  ,500  ,-2.5  ,-382.913  ,2.88837e-004
31255  ,500  ,5.58794e-008  ,382.913  ,2.88837e-004
31026  ,500  ,5.58794e-008  ,-382.913  ,2.88836e-004
30943  ,500  ,2.5  ,-382.913  ,2.88835e-004
30784  ,500  ,2.5  ,382.913  ,2.88827e-004
29818  ,492.028  ,1.24542  ,-494.012  ,2.88815e-004
29942  ,492.141  ,0  ,492.141  ,2.88808e-004
29820  ,492.141  ,0  ,-492.141  ,2.88806e-004
5453  ,491.65  ,-0.00915172  ,-496.15  ,2.88752e-004
13022  ,491.763  ,-1.25458  ,-494.278  ,2.88743e-004
2920  ,491.875  ,-2.5  ,-492.406  ,2.88734e-004
491  ,491.875  ,2.5  ,492.406  ,2.88725e-004
29819  ,492.141  ,0  ,-487.584  ,2.88708e-004
235  ,500  ,-2.5  ,373.094  ,2.88652e-004
31256  ,500  ,5.58794e-008  ,373.094  ,2.88646e-004
292  ,500  ,2.5  ,-373.094  ,2.88644e-004
273  ,500  ,-2.5  ,-373.094  ,2.88643e-004
31033  ,500  ,5.58794e-008  ,-373.094  ,2.88643e-004
330  ,500  ,2.5  ,373.094  ,2.88640e-004
13023  ,491.875  ,-2.5  ,-487.85  ,2.88635e-004
29944  ,491.875  ,2.5  ,487.85  ,2.88626e-004
12975  ,491.457  ,-2.5  ,488.359  ,2.88543e-004
2921  ,491.875  ,-2.5  ,-483.294  ,2.88538e-004
29838  ,491.457  ,2.5  ,-488.359  ,2.88531e-004
492  ,491.875  ,2.5  ,483.294  ,2.88528e-004
31257  ,500  ,-2.5  ,363.276  ,2.88460e-004
29943  ,491.191  ,0  ,488.625  ,2.88460e-004
30940  ,500  ,2.5  ,-363.276  ,2.88457e-004
31249  ,500  ,5.58794e-008  ,363.276  ,2.88457e-004
31511  ,490.578  ,-2.5  ,495.938  ,2.88454e-004
31032  ,500  ,5.58794e-008  ,-363.276  ,2.88454e-004
30787  ,500  ,2.5  ,363.276  ,2.88453e-004
31039  ,500  ,-2.5  ,-363.276  ,2.88452e-004
30211  ,490.578  ,2.5  ,-495.938  ,2.88443e-004
29936  ,491.875  ,0  ,477.826  ,2.88425e-004
29808  ,491.875  ,0  ,-477.826  ,2.88423e-004
13021  ,491.875  ,-2.5  ,-477.826  ,2.88421e-004
29939  ,491.875  ,2.5  ,477.826  ,2.88411e-004
31279  ,492.422  ,-2.5  ,468.31  ,2.88398e-004
30956  ,492.422  ,2.5  ,-468.31  ,2.88382e-004
30757  ,492.422  ,0  ,468.31  ,2.88381e-004
30955  ,492.422  ,0  ,-468.31  ,2.88380e-004
30209  ,490.2  ,1.24542  ,-498.075  ,2.88380e-004
30998  ,492.422  ,-2.5  ,-468.31  ,2.88378e-004
30736  ,490.2  ,-1.25458  ,-498.075  ,2.88378e-004
31512  ,490.313  ,0  ,496.203  ,2.88372e-004
30737  ,490.313  ,-2.5  ,-496.203  ,2.88368e-004
30760  ,492.422  ,2.5  ,468.31  ,2.88365e-004
29937  ,491.191  ,0  ,484.069  ,2.88362e-004
31489  ,490.313  ,2.5  ,496.203  ,2.88360e-004
29832  ,491.191  ,0  ,-484.069  ,2.88360e-004
2943  ,491.875  ,-2.5  ,472.359  ,2.88325e-004
514  ,491.875  ,2.5  ,-472.359  ,2.88310e-004
29933  ,491.875  ,0  ,472.359  ,2.88310e-004
29807  ,491.875  ,0  ,-472.359  ,2.88308e-004
2922  ,491.875  ,-2.5  ,-472.359  ,2.88306e-004
493  ,491.875  ,2.5  ,472.359  ,2.88294e-004
293  ,500  ,2.5  ,-353.458  ,2.88272e-004
236  ,500  ,-2.5  ,353.458  ,2.88270e-004
31250  ,500  ,5.58794e-008  ,353.458  ,2.88269e-004
329  ,500  ,2.5  ,353.458  ,2.88268e-004
31038  ,500  ,5.58794e-008  ,-353.458  ,2.88266e-004
272  ,500  ,-2.5  ,-353.458  ,2.88261e-004
12973  ,491.191  ,-2.5  ,478.601  ,2.88259e-004
29836  ,491.191  ,2.5  ,-478.601  ,2.88246e-004
31274  ,492.422  ,-2.5  ,458.545  ,2.88196e-004
2937  ,490.508  ,-2.5  ,484.844  ,2.88195e-004
508  ,490.508  ,2.5  ,-484.844  ,2.88183e-004
31275  ,492.422  ,0  ,458.545  ,2.88178e-004
30952  ,492.422  ,2.5  ,-458.545  ,2.88178e-004
30950  ,492.422  ,0  ,-458.545  ,2.88176e-004
31002  ,492.422  ,-2.5  ,-458.545  ,2.88176e-004
30763  ,492.422  ,2.5  ,458.545  ,2.88159e-004
30936  ,500  ,2.5  ,-343.64  ,2.88090e-004
31251  ,500  ,-2.5  ,343.64  ,2.88084e-004
31242  ,500  ,5.58794e-008  ,343.64  ,2.88082e-004
31037  ,500  ,5.58794e-008  ,-343.64  ,2.88082e-004
30790  ,500  ,2.5  ,343.64  ,2.88081e-004
31044  ,500  ,-2.5  ,-343.64  ,2.88074e-004
168  ,488.75  ,-2.5  ,500  ,2.88019e-004
447  ,488.75  ,2.5  ,-500  ,2.88008e-004
31514  ,488.75  ,5.58794e-008  ,500  ,2.88008e-004
30741  ,488.75  ,5.58794e-008  ,-500  ,2.88005e-004
340  ,488.75  ,-2.5  ,-500  ,2.88003e-004
173  ,488.75  ,2.5  ,500  ,2.87996e-004
31273  ,492.422  ,-2.5  ,448.545  ,2.87990e-004
30762  ,492.422  ,0  ,448.545  ,2.87971e-004
30951  ,492.422  ,2.5  ,-448.545  ,2.87970e-004
31004  ,492.422  ,0  ,-448.545  ,2.87970e-004
294  ,500  ,2.5  ,-333.821  ,2.87908e-004
237  ,500  ,-2.5  ,333.821  ,2.87901e-004
31043  ,500  ,5.58794e-008  ,-333.821  ,2.87899e-004
31243  ,500  ,5.58794e-008  ,333.821  ,2.87898e-004
328  ,500  ,2.5  ,333.821  ,2.87896e-004
271  ,500  ,-2.5  ,-333.821  ,2.87889e-004
31269  ,492.422  ,-2.5  ,438.726  ,2.87789e-004
29821  ,488.625  ,0  ,-491.191  ,2.87778e-004
30767  ,492.422  ,0  ,438.726  ,2.87770e-004
31011  ,492.422  ,0  ,-438.726  ,2.87768e-004
30948  ,492.422  ,2.5  ,-438.726  ,2.87767e-004
30931  ,500  ,2.5  ,-324.003  ,2.87728e-004
31244  ,500  ,-2.5  ,324.003  ,2.87721e-004
31235  ,500  ,5.58794e-008  ,324.003  ,2.87718e-004
31042  ,500  ,5.58794e-008  ,-324.003  ,2.87717e-004
13028  ,488.247  ,-1.25458  ,-493.329  ,2.87715e-004
30793  ,500  ,2.5  ,324.003  ,2.87714e-004
31049  ,500  ,-2.5  ,-324.003  ,2.87707e-004
13031  ,488.359  ,-2.5  ,-491.457  ,2.87705e-004
29958  ,488.359  ,2.5  ,491.457  ,2.87697e-004
13030  ,488.359  ,-2.5  ,-486.901  ,2.87607e-004
29957  ,488.359  ,2.5  ,486.901  ,2.87598e-004
31268  ,492.422  ,-2.5  ,428.726  ,2.87585e-004
12967  ,487.85  ,-2.5  ,491.875  ,2.87584e-004
29822  ,487.85  ,2.5  ,-491.875  ,2.87573e-004
30766  ,492.422  ,0  ,428.726  ,2.87566e-004
31010  ,492.422  ,0  ,-428.726  ,2.87564e-004
30947  ,492.422  ,2.5  ,-428.726  ,2.87563e-004
295  ,500  ,2.5  ,-314.185  ,2.87551e-004
238  ,500  ,-2.5  ,314.185  ,2.87544e-004
31236  ,500  ,5.58794e-008  ,314.185  ,2.87540e-004
31048  ,500  ,5.58794e-008  ,-314.185  ,2.87539e-004
327  ,500  ,2.5  ,314.185  ,2.87536e-004
270  ,500  ,-2.5  ,-314.185  ,2.87528e-004
29813  ,487.472  ,1.24542  ,-494.012  ,2.87510e-004
29941  ,487.584  ,0  ,492.141  ,2.87502e-004
29955  ,487.676  ,0  ,487.676  ,2.87431e-004
