19:54, Thursday, January 17, 2019
Study name:Static 2 Filled Compression
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
102  ,-1.85655e+004  ,-4.97171e+003  ,-7.73884e+003  ,3.48133e+002  ,-2.64467e+003  ,-5.66395e+001
103  ,-1.91656e+004  ,-6.64258e+003  ,-8.48351e+003  ,3.79201e+002  ,-3.04701e+003  ,-8.88057e+001
104  ,-2.02572e+004  ,-9.99238e+003  ,-1.00227e+004  ,3.85538e+002  ,-3.11307e+003  ,3.04125e+001
105  ,-2.00272e+004  ,-7.14233e+003  ,-9.07373e+003  ,3.32438e+002  ,-3.25158e+003  ,9.16353e+001
106  ,-2.03044e+004  ,-5.49566e+003  ,-8.50859e+003  ,3.61892e+002  ,-3.65553e+003  ,-1.21503e+001
107  ,-2.10556e+004  ,-5.64313e+003  ,-8.84098e+003  ,4.28942e+002  ,-4.10621e+003  ,-8.71608e+000
108  ,-2.17355e+004  ,-5.85472e+003  ,-9.13895e+003  ,4.24859e+002  ,-4.62662e+003  ,-9.54539e+000
109  ,-2.33244e+004  ,-7.47674e+003  ,-1.01802e+004  ,2.19781e+002  ,-5.45706e+003  ,-2.84494e+002
110  ,-2.34796e+004  ,-1.15646e+004  ,-1.15646e+004  ,4.04833e+003  ,-6.27111e+003  ,1.93628e-003
111  ,-2.60753e+004  ,-9.53758e+003  ,-1.19253e+004  ,1.79068e+003  ,-6.89326e+003  ,-6.44150e+001
112  ,-2.90344e+004  ,-1.43433e+004  ,-1.44302e+004  ,3.06380e+003  ,-8.04611e+003  ,-2.76745e+002
113  ,-3.37754e+004  ,-1.66009e+004  ,-1.65302e+004  ,4.85360e+003  ,-1.03288e+004  ,-4.46413e+002
114  ,-6.38591e+004  ,-3.14530e+004  ,-3.14530e+004  ,8.63738e+003  ,-1.94029e+004  ,-2.27527e-005
115  ,-4.45239e+004  ,8.24055e+003  ,6.57021e+003  ,3.31335e+002  ,1.81385e+003  ,3.70199e+002
116  ,-3.27043e+004  ,-2.49374e+002  ,1.00166e+003  ,1.54429e+002  ,-3.93303e+002  ,-1.14914e+001
117  ,-2.81493e+004  ,4.12177e+001  ,1.80271e+002  ,-1.30323e+001  ,-6.42628e+001  ,1.54352e+001
118  ,-2.57068e+004  ,-2.51554e+001  ,2.03331e+001  ,1.05582e+001  ,1.43510e+002  ,2.26569e+001
119  ,-2.27212e+004  ,1.18893e+001  ,1.82687e+002  ,3.06718e+001  ,-1.44956e+002  ,6.45850e+000
120  ,-2.11921e+004  ,-2.89413e+000  ,4.20593e+001  ,-1.41519e+001  ,-7.94260e+001  ,1.46149e+001
121  ,-2.02368e+004  ,-8.07670e+000  ,1.87039e+001  ,-6.00567e+000  ,-5.76964e+001  ,1.90572e+000
122  ,-1.95575e+004  ,-1.06167e+000  ,2.72340e+001  ,-3.88844e+000  ,-4.50214e+001  ,6.05651e+000
123  ,-1.91302e+004  ,1.19102e+000  ,2.23159e+001  ,-4.48986e+000  ,-2.28407e+001  ,4.27160e+000
124  ,-1.88503e+004  ,3.15428e+000  ,3.04691e+001  ,2.75568e+000  ,-2.20332e+001  ,-2.29548e-001
125  ,-1.86701e+004  ,9.65657e-001  ,-2.10197e+000  ,-4.04165e+000  ,-2.32208e+001  ,-1.76635e+000
126  ,-1.84798e+004  ,4.59681e+000  ,3.15780e+000  ,-5.07945e+000  ,-2.14639e+001  ,1.21813e-001
127  ,-1.83849e+004  ,2.44644e+000  ,-2.64820e+000  ,-2.60987e+000  ,-1.22497e+001  ,-1.30655e+000
128  ,-1.83307e+004  ,-8.71167e-002  ,5.87604e-001  ,-3.20966e+000  ,-5.84854e+000  ,-1.60047e+000
129  ,-1.83012e+004  ,6.55362e-001  ,-3.53602e+000  ,3.14246e+000  ,-1.38009e+000  ,-6.48840e-001
130  ,-1.83072e+004  ,1.47518e+000  ,1.75354e+000  ,5.12709e+000  ,8.41645e+000  ,1.28924e+000
131  ,-1.83490e+004  ,6.99163e-001  ,2.48938e+000  ,-6.62172e-001  ,-1.77384e+000  ,1.28589e+000
132  ,-1.83621e+004  ,2.25455e+000  ,4.91557e+000  ,-5.02370e-001  ,-5.32556e+000  ,3.42831e+000
133  ,-1.84024e+004  ,-1.56484e+000  ,-4.86300e+000  ,-1.14192e+000  ,-8.90983e+000  ,-2.33595e+000
134  ,-1.84164e+004  ,1.64284e+000  ,2.86407e+000  ,-5.40046e+000  ,-6.80812e+000  ,-1.86570e+000
135  ,-1.84732e+004  ,6.99081e-001  ,9.19456e+000  ,3.13562e+000  ,-1.11892e+000  ,3.93702e+000
136  ,-1.85456e+004  ,-5.21949e-001  ,-4.96496e-001  ,-4.06280e-001  ,-1.41883e+000  ,-7.41626e-001
137  ,-1.86143e+004  ,1.21231e-001  ,8.83973e+000  ,1.67367e+000  ,8.23334e-001  ,1.31589e+000
138  ,-1.86839e+004  ,5.02445e-001  ,1.11217e+000  ,-4.39420e+000  ,-4.45794e+000  ,-8.33362e-001
139  ,-1.87535e+004  ,9.86082e-001  ,5.92211e-001  ,3.70228e+000  ,-1.71526e+000  ,-3.16027e-001
140  ,-1.88254e+004  ,-3.19028e-001  ,-1.11706e+000  ,-6.37265e-001  ,-7.14994e-001  ,1.98000e-001
141  ,-1.88983e+004  ,-7.91979e-002  ,7.44100e-001  ,-1.36514e+000  ,3.84903e+000  ,-3.46896e-001
142  ,-1.89662e+004  ,-1.03670e-001  ,9.62759e+000  ,2.15297e+000  ,6.66110e+000  ,1.28879e+000
143  ,-1.90462e+004  ,2.64695e-001  ,6.72230e+000  ,-2.25911e+000  ,5.12356e+000  ,4.47727e-001
144  ,-1.91131e+004  ,1.46259e+000  ,5.17800e+000  ,3.48181e-001  ,-1.70980e+000  ,8.45970e-001
145  ,-1.91815e+004  ,5.77652e-001  ,1.79730e+000  ,2.94979e+000  ,1.37555e+000  ,4.69486e-001
146  ,-1.92552e+004  ,7.86320e-001  ,1.83064e+000  ,4.50140e-001  ,1.10476e-001  ,1.12326e+000
147  ,-1.93263e+004  ,-1.16791e+000  ,2.63657e+000  ,8.03252e-002  ,-3.20169e+000  ,6.59375e-001
148  ,-1.93787e+004  ,-2.77742e+000  ,7.96579e+000  ,-3.94941e+000  ,-1.33202e+001  ,2.15442e+000
149  ,-1.93744e+004  ,5.91263e-001  ,1.18203e+001  ,-7.27511e+000  ,-1.96848e+001  ,-2.46986e+000
150  ,-1.94123e+004  ,-1.35942e+000  ,-4.37736e-001  ,1.07011e+001  ,1.97447e+001  ,-2.99553e+000
151  ,-1.95564e+004  ,-4.26694e+000  ,-1.44086e+001  ,1.25020e+001  ,4.25746e+001  ,-1.73400e+000
