19:59, Thursday, January 17, 2019
Study name:Static 3 Filled Torsion
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
64  ,2.77011e+007  ,1.35822e+007  ,1.34858e+007  ,-9.91071e+005  ,2.28902e+004  ,-1.35418e+005
65  ,2.90269e+007  ,1.42424e+007  ,1.41646e+007  ,-7.48952e+005  ,1.20958e+005  ,-2.80960e+004
66  ,2.96971e+007  ,1.45735e+007  ,1.45002e+007  ,-5.64876e+005  ,1.50601e+005  ,3.96228e+004
67  ,2.80482e+007  ,9.96484e+006  ,1.25007e+007  ,2.53835e+003  ,6.39108e+004  ,-1.07946e+005
68  ,2.71502e+007  ,7.61263e+006  ,1.14192e+007  ,1.65909e+005  ,1.48616e+005  ,2.71234e+004
69  ,2.70806e+007  ,7.58512e+006  ,1.13859e+007  ,2.37185e+005  ,1.42075e+005  ,5.08309e+004
70  ,2.70451e+007  ,7.58235e+006  ,1.13668e+007  ,2.34960e+005  ,1.31313e+005  ,5.38952e+004
71  ,2.69796e+007  ,7.55925e+006  ,1.13439e+007  ,2.51179e+005  ,1.25453e+005  ,5.47226e+004
72  ,2.68714e+007  ,7.50687e+006  ,1.12970e+007  ,2.61960e+005  ,1.13900e+005  ,4.83068e+004
73  ,2.78103e+007  ,9.86853e+006  ,1.22930e+007  ,2.01081e+005  ,1.40317e+005  ,2.90815e+005
74  ,2.95849e+007  ,1.45133e+007  ,1.44613e+007  ,-5.70434e+004  ,8.33573e+004  ,1.19957e+005
75  ,2.64127e+007  ,7.45995e+006  ,1.11699e+007  ,8.60801e+004  ,7.43844e+004  ,3.23717e+004
76  ,2.63405e+007  ,7.37267e+006  ,1.10706e+007  ,2.77516e+005  ,6.04726e+004  ,5.25782e+004
77  ,2.62480e+007  ,7.33882e+006  ,1.10348e+007  ,2.71981e+005  ,5.87618e+004  ,5.50328e+004
78  ,2.61424e+007  ,7.31246e+006  ,1.09932e+007  ,2.73152e+005  ,5.01479e+004  ,5.34778e+004
79  ,2.60415e+007  ,7.28826e+006  ,1.09506e+007  ,2.73248e+005  ,4.16570e+004  ,5.19785e+004
80  ,2.59476e+007  ,7.26827e+006  ,1.09101e+007  ,2.80841e+005  ,3.79891e+004  ,5.83550e+004
81  ,2.58699e+007  ,7.24674e+006  ,1.08859e+007  ,2.83194e+005  ,3.91103e+004  ,4.18877e+004
82  ,2.56502e+007  ,7.27423e+006  ,1.08620e+007  ,3.31532e+005  ,-2.44845e+004  ,7.68855e+004
83  ,2.58227e+007  ,7.27757e+006  ,1.09339e+007  ,2.69573e+005  ,2.06519e+003  ,-4.34421e+004
84  ,2.59646e+007  ,7.38292e+006  ,1.09296e+007  ,2.97735e+005  ,5.93911e+004  ,-4.84125e+004
85  ,2.63837e+007  ,9.01011e+006  ,1.15631e+007  ,3.76171e+005  ,-4.49552e+004  ,1.11985e+005
86  ,2.55331e+007  ,7.11549e+006  ,1.07376e+007  ,3.47122e+005  ,-7.69640e+004  ,3.35361e+004
87  ,2.58769e+007  ,7.31237e+006  ,1.09326e+007  ,2.60149e+005  ,3.93826e+003  ,-1.93611e+004
88  ,2.58690e+007  ,7.29374e+006  ,1.09252e+007  ,2.53189e+005  ,-1.97420e+003  ,-1.57743e+004
89  ,2.58827e+007  ,7.28428e+006  ,1.09234e+007  ,2.33472e+005  ,-8.18205e+003  ,-1.47644e+004
90  ,2.64252e+007  ,8.25725e+006  ,1.14066e+007  ,2.90561e+005  ,-1.47091e+003  ,1.36263e+004
91  ,2.59159e+007  ,7.27223e+006  ,1.09009e+007  ,2.32317e+005  ,-2.12049e+004  ,4.92329e+004
92  ,2.59814e+007  ,7.29011e+006  ,1.09270e+007  ,2.25935e+005  ,-3.10154e+004  ,5.13985e+004
93  ,2.60649e+007  ,7.33118e+006  ,1.09759e+007  ,2.29843e+005  ,-4.12774e+004  ,4.93947e+004
94  ,2.61550e+007  ,7.31581e+006  ,1.10044e+007  ,2.42260e+005  ,-5.50972e+004  ,4.49806e+004
95  ,2.72417e+007  ,9.67980e+006  ,1.20572e+007  ,1.03076e+004  ,2.34077e+002  ,2.78587e+005
96  ,2.95375e+007  ,1.44879e+007  ,1.44300e+007  ,-2.52056e+005  ,-6.14073e+004  ,1.03010e+005
97  ,2.96298e+007  ,1.45303e+007  ,1.44667e+007  ,-2.46014e+005  ,-6.12528e+004  ,9.91803e+004
98  ,2.95999e+007  ,1.45272e+007  ,1.44880e+007  ,-1.28618e+005  ,-7.01663e+004  ,9.07956e+004
99  ,2.76748e+007  ,9.83077e+006  ,1.23097e+007  ,-2.18736e+005  ,-1.05045e+005  ,2.29152e+005
100  ,3.00198e+007  ,1.47201e+007  ,1.46530e+007  ,-2.44321e+005  ,-1.14760e+005  ,1.07503e+005
101  ,2.99911e+007  ,1.47155e+007  ,1.46682e+007  ,-1.46483e+005  ,-1.07786e+005  ,9.80772e+004
102  ,2.69639e+007  ,7.60498e+006  ,1.14068e+007  ,5.49464e+004  ,-1.70398e+005  ,1.03635e+004
103  ,2.81334e+007  ,9.99832e+006  ,1.24213e+007  ,1.07039e+004  ,-1.05121e+005  ,2.85070e+005
104  ,3.05477e+007  ,1.49931e+007  ,1.49640e+007  ,-2.92344e+005  ,-1.98537e+005  ,7.80447e+004
105  ,2.81785e+007  ,1.00686e+007  ,1.26139e+007  ,1.24995e+005  ,-1.66276e+005  ,-1.55167e+005
106  ,2.67956e+007  ,7.50005e+006  ,1.12604e+007  ,4.52167e+005  ,-1.42372e+005  ,5.57643e+004
107  ,2.62414e+007  ,7.27028e+006  ,1.10020e+007  ,3.86399e+005  ,-7.97409e+004  ,8.35602e+004
108  ,2.51413e+007  ,6.88767e+006  ,1.04889e+007  ,3.06671e+005  ,2.59067e+004  ,1.24523e+005
109  ,2.34851e+007  ,7.24615e+006  ,9.95375e+006  ,2.49866e+005  ,2.87513e+005  ,3.44819e+005
110  ,1.99701e+007  ,9.83456e+006  ,9.83554e+006  ,3.63720e+004  ,1.14217e+005  ,5.06948e+001
111  ,1.73043e+007  ,6.15382e+006  ,7.71341e+006  ,-2.98278e+005  ,6.24125e+005  ,3.63540e+005
112  ,1.20381e+007  ,5.83587e+006  ,5.64891e+006  ,7.36272e+004  ,1.28590e+006  ,3.85412e+005
113  ,3.45562e+006  ,1.62258e+006  ,1.46223e+006  ,1.01478e+006  ,2.22946e+006  ,2.28461e+005
114  ,9.85307e+004  ,4.90863e+004  ,4.89766e+004  ,3.62903e+006  ,2.51330e+006  ,4.44944e+002
115  ,-2.18058e+006  ,-7.74981e+004  ,-1.27766e+005  ,2.74634e+006  ,2.78059e+006  ,-1.21986e+005
116  ,-8.83166e+006  ,-8.00733e+003  ,-1.41391e+005  ,2.27669e+006  ,3.58926e+006  ,-8.64799e+004
117  ,-1.33285e+007  ,3.00325e+004  ,2.44101e+004  ,2.20265e+006  ,3.49318e+006  ,-2.79741e+004
118  ,-1.64384e+007  ,1.14927e+005  ,-3.34021e+005  ,1.42910e+006  ,3.74516e+006  ,-1.56340e+004
119  ,-1.75814e+007  ,-3.81159e+004  ,-1.00941e+006  ,6.79750e+005  ,3.27583e+006  ,-1.97720e+005
120  ,-1.83496e+007  ,-7.78397e+004  ,-9.75394e+005  ,1.06575e+006  ,2.81599e+006  ,-3.34030e+005
121  ,-1.86293e+007  ,-9.09930e+004  ,-9.06336e+005  ,9.82253e+005  ,2.49462e+006  ,-3.13119e+005
122  ,-1.84616e+007  ,-8.15605e+004  ,-7.26945e+005  ,9.08835e+005  ,2.15760e+006  ,-2.50954e+005
123  ,-1.81579e+007  ,3.95072e+004  ,-6.50270e+005  ,6.49386e+005  ,1.98805e+006  ,-1.26934e+005
124  ,-1.76531e+007  ,-4.97513e+004  ,-4.91139e+005  ,4.21594e+005  ,1.75594e+006  ,9.90189e+003
125  ,-1.72555e+007  ,-3.20549e+004  ,-3.09156e+005  ,4.71028e+005  ,1.44089e+006  ,-3.86841e+004
126  ,-1.67272e+007  ,1.19240e+004  ,-2.18168e+005  ,5.57914e+005  ,1.15250e+006  ,-2.92429e+004
